Issue key,Issue id,Summary,Status,Custom field (Requirement Priority)
LVV-9903,299802,DMS-PRTL-REQ-0066-V-01: Display Coadded Image Cutouts / Mosaics_1,Covered,
LVV-9904,305471,DMS-PRTL-REQ-0065-V-01: Display Native Coadded Image Data Products_1,In Verification,
LVV-9905,305472,DMS-PRTL-REQ-0062-V-01: Display Native Single-Visit Image Data Products_1,In Verification,
LVV-9906,299798,DMS-PRTL-REQ-0063-V-01: Display Raft- and Focal-Plane-Level Single-Visit  Image Data_1,Covered,
LVV-9907,299730,DMS-PRTL-REQ-0064-V-01: Display Single Visit Image Cut-Out_1,Covered,
LVV-9908,299717,DMS-PRTL-REQ-0068-V-01: Display User-provided Images_1,Covered,
LVV-9909,305473,DMS-PRTL-REQ-0069-V-01: Image Property Sheet_1,In Verification,
LVV-9910,305470,DMS-PRTL-REQ-0074-V-01: Image Appearance Manipulation_1,In Verification,
LVV-9911,305475,DMS-PRTL-REQ-0071-V-01: Image Pixel Content Display_1,In Verification,
LVV-9912,299806,DMS-PRTL-REQ-0072-V-01: Image Spatial Manipulation_1,Covered,
LVV-9913,307057,DMS-PRTL-REQ-0073-V-01: Multi-Image Scaling and Aligning_1,Verified,
LVV-9914,305476,DMS-PRTL-REQ-0070-V-01: Provide Coordinate Display Tools for Images_1,In Verification,
LVV-9915,305477,DMS-PRTL-REQ-0075-V-01: Image Mask and Variance Overlays_1,In Verification,
LVV-9916,299734,DMS-PRTL-REQ-0077-V-01: Image Overlays: Adjustment of Colors and Positions_1,Covered,
LVV-9917,305478,DMS-PRTL-REQ-0076-V-01: Image Plot Overlays_1,In Verification,
LVV-9918,307064,DMS-PRTL-REQ-0078-V-01: Display All-Sky HEALPix Image_1,Verified,
LVV-9919,299739,DMS-PRTL-REQ-0081-V-01: HEALPix Pixel Selection_1,Covered,
LVV-9920,307090,DMS-PRTL-REQ-0080-V-01: Pan Around on a HEALPix Image_1,Verified,
